name,image,originalPrice,price,promotionId,discount,ratingScore,review,location,description,brandName,inStock
PELADN Graphics Card GTX1660TI 6G Graphics Card GPU Desktop Computer Game Video Card,https://static-01.daraz.com.bd/p/0e3a0bfbf1200a3073b2e9cbb96b17d5.jpg,32182.00,21455.00,null,-33%,Not Available,0,China,[],No Brand,True
NVMe Expansion Riser Card 8+4+4Hyper Ultra Quad VROC M.2 NVMe Port Expansion Riser Card,https://static-01.daraz.com.bd/p/84a95e92076f85367e417c66c6137ff9.jpg,2445.00,1397.00,null,-43%,Not Available,0,China,[],No Brand,True
Gaming Graphics Card /VGA/ Interface Compact PCIe x16 2.0 Low Profile,https://static-01.daraz.com.bd/p/ab7d8647f9abe4e3b2cc1f73487e3a34.jpg,5019.00,3861.00,null,-23%,Not Available,0,China,[],No Brand,True
GPU GDDR5 128Bit GTX550Ti 8G Computer Graphics Card Desktop Game Graphics Card DVI Video Graphics Card,https://static-01.daraz.com.bd/p/0011564cade3cc1a0daa15adc166b2e1.png,18310.00,12207.00,null,-33%,Not Available,0,China,[],No Brand,True
RX580 8G AMD Gaming Graphics Card 8GB GDDR5 256BIT 2048SP,https://static-01.daraz.com.bd/p/89bd88f39c0c8ca3add8226dd0fbbf90.jpg,18594.00,10357.00,null,-44%,Not Available,0,China,[],No Brand,True
RX580 8GB DDR5 256BIT 2048SP Graphics Card 8Pin Dual Fan for AMD Mining Game Graphics Card,https://static-01.daraz.com.bd/p/7a918cdd642c1df0fecd30f6da4aeed0.png,11823.00,11823.00,null,Not Available,Not Available,0,China,[],No Brand,True
10 Pieces DP Virtual Display Adapter EDID Headless Ghost Emulator Graphics Video Card Cheater,https://static-01.daraz.com.bd/p/f631865156029fa848a5108830815763.png,5489.00,2967.00,null,-46%,Not Available,0,China,[],No Brand,True
Gen4 2 Ports SlimSAS 8I X2 to PCIE 4.0 X16 Slot Adapter Board Spare Parts for Network Card Graphics Video Card Capture Card,https://static-01.daraz.com.bd/p/48a2c764108d7a5face65677f80a132e.png,10059.00,6662.00,null,-34%,Not Available,0,China,[],No Brand,True
PCI-E 4.0 X8 to X16 Graphics Card Extension Cable PCI-E USB4.0 Video Card Adapter Cable 180 Degrees Extension Cable,https://static-01.daraz.com.bd/p/7a571173b44cd1e1d73355a986bbdd58.jpg,2301.00,1534.00,null,-33%,Not Available,0,China,[],No Brand,True
FLYEER GTX550TI Computer Graphics Card 2GB DDR5 128Bit HDMI-Compatible VGA DVI Interface Video Card for Gaming Desktop PC,https://static-01.daraz.com.bd/p/5109e91aa5bb752970d268a92b9c4a80.jpg,13496.00,7892.00,null,-42%,Not Available,0,China,[],No Brand,True
